Code_Name	Data_Cube	Project	Time_Series	Start_Date	End_Date	Legend_File	Legend_Img	Name	Param_Name	Var_Name	Units	Var_Scale	Var_Offset	Orig_Units	Bands	Shade_factor	Shade_Default	Processing	Projection	Round	MetadataLink	File_Path	Data_Attrib	Point_Data	Polygon_Aggregation	DownloadLink
US_CDL_soilMoistFrac_d	US_CDL_soilMoistFrac	PCHES	daily	2007-01-01	2022-12-31	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, daily	Fraction	soilMoistFrac	fraction			fraction	366		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/daily/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_m	US_CDL_soilMoistFrac	PCHES	monthly	2007-01-00	2022-12-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, monthly	Fraction	soilMoistFrac	fraction			fraction	12		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/monthly/soilMoistFrac/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_y	US_CDL_soilMoistFrac	PCHES	yearly	2007-00-00	2022-00-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, yearly	Fraction	soilMoistFrac	fraction			fraction	1		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/yearly/soilMoistFrac/wbm__YEAR_.nc;				
US_CDL_soilMoistFrac_dc	US_CDL_soilMoistFrac	PCHES	daily_clim	0000-01-01	0000-12-31	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, daily climatology	Fraction	soilMoistFrac	fraction			fraction	365		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_dc.nc;				
US_CDL_soilMoistFrac_mc	US_CDL_soilMoistFrac	PCHES	monthly_clim	0000-01-00	0000-12-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, monthly climatology	Fraction	soilMoistFrac	fraction			fraction	12		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_mc.nc;				
US_CDL_soilMoistFrac_yc	US_CDL_soilMoistFrac	PCHES	yearly_clim	0000-00-00	0000-00-00	DarkBlue(0:1)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent Fraction, yearly climatology	Fraction	soilMoistFrac	fraction			fraction	1		5:0		epsg:4326	%.3f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoistFrac_yc.nc;				
US_CDL_soilMoist_d	US_CDL_soilMoist	PCHES	daily	2007-01-01	2022-12-31	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, daily	Soil Moisture	soilMoist	mm			mm	366		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/daily/wbm__YEAR_.nc;				
US_CDL_soilMoist_m	US_CDL_soilMoist	PCHES	monthly	2007-01-00	2022-12-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, monthly	Soil Moisture	soilMoist	mm			mm	12		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/monthly/soilMoist/wbm__YEAR_.nc;				
US_CDL_soilMoist_y	US_CDL_soilMoist	PCHES	yearly	2007-00-00	2022-00-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, yearly	Soil Moisture	soilMoist	mm			mm	1		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/yearly/soilMoist/wbm__YEAR_.nc;				
US_CDL_soilMoist_dc	US_CDL_soilMoist	PCHES	daily_clim	0000-01-01	0000-12-31	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, daily climatology	Soil Moisture	soilMoist	mm			mm	365		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoist_dc.nc;				
US_CDL_soilMoist_mc	US_CDL_soilMoist	PCHES	monthly_clim	0000-01-00	0000-12-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, monthly climatology	Soil Moisture	soilMoist	mm			mm	12		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoist_mc.nc;				
US_CDL_soilMoist_yc	US_CDL_soilMoist	PCHES	yearly_clim	0000-00-00	0000-00-00	RainbowRB(0:100)		WBM-TrANS, PCHES, Soil Moisture Water Equivalent, yearly climatology	Soil Moisture	soilMoist	mm			mm	1		5:0		epsg:4326	%.2f	no_metadata.htm	(1e20,1e5):/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/wbm_output/climatology/wbm_soilMoist_yc.nc;				

gridMET_ppt_4kmD2_d			daily	2007-01-01	2022-12-31			gridMET, US 4 km, Daily Accumulated Precipitation, Daily		precipitation_amount	mm/day	1	0	mm/day	366			32767	epsg:4326			(1e20,1e4):/gpfs/group/kaf26/default/private/WBM_data/Metdata_2008_2022/pr__YEAR_.nc;				
gridMET_tmean_4kmD2_d			daily	2007-01-01	2022-12-31			gridMET, US 4 km, Daily Mean Temperature, Daily		air_temperature	C	1	-273.15	K	366			32767	epsg:4326			(1e20,1e4):/gpfs/group/kaf26/default/private/WBM_data/Metdata_2008_2022/tmean__YEAR_.nc;				
merra2_cldtot_d			daily	2007-01-01	2022-12-31			total_cloud_area_fraction		CLDTOT_daily	fraction	1	0	fraction	1			nodata=999999986991104	epsg:4326			(1e20,1e5):/gpfs/group/kaf26/default/private/WBM_data/Merra2_2008_2022/Radiation_Diagnostics/MERRA2_tavg1_2d_rad_Nx._YEAR__MONTH__DAY_.SUB.nc;				
gridMET_u10m_d			daily	2007-01-01	2022-12-31			Daily Mean Wind Speed (10m)		wind_speed	m/sec	1	0	m/sec	1			nodata=32767	epsg:4326			/gpfs/group/kaf26/default/private/WBM_data/Metdata_2008_2022/uw__YEAR_.nc;				
gridMET_v10m_d			daily	2007-01-01	2022-12-31			Daily Mean Wind Speed (10m)		wind_speed	m/sec	1	0	m/sec	1			nodata=32767	epsg:4326			/gpfs/group/kaf26/default/private/WBM_data/Metdata_2008_2022/vw__YEAR_.nc;				
gridMET_rh2m_d			daily	2007-01-01	2022-12-31			rh2m		rh2m	percent	1	0	percent	1			nodata=-9999	epsg:4326			(1e20,1e5):/gpfs/group/kaf26/default/private/WBM_data/Metdata_2008_2022/rh__YEAR_.nc;				
merra_albedo_dc			daily_clim	0000-01-01	0000-12-31			MERRA albedo, daily climatology		albedo		1	0		365			nodata=1e15	epsg:4326			(1e20,1e5):/gpfs/group/kaf26/default/private/WBM_data/squam.sr.unh.edu/US_CDL_v3_data/climate/climatology/albedo/MERRA.prod.assim.tavg1_2d_rad_Nx.albedo.daily_clim.nc;				
merra2_lai2_dc			daily_clim	0000-01-01	0000-12-31			MERRA2 leaf area index, daily climatology		LAI	indx	1	0	indx	365			steps=400	epsg:4326			/gpfs/group/kaf26/default/private/WBM_data/squam.sr.unh.edu/US_CDL_v3_data/climate/climatology/LAI/MERRA2.LAI.daily_clim.nc;				
rootdepth								Effective_Rooting_Depth		Band 1	mm	1000	0	m	1			NoData=3.4e+38	epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/soil/Effective_Rooting_Depth.tif				
AWC								SSURGO_SoilData_awc_frac_mm_m_CONUS_1km		Band 1	mm/m	1	0	mm/m	1			nodata=-9999	epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/soil/SSURGO_SoilData_awc_frac_mm_m_CONUS_1km.tif				
MC_crop1			daily_clim	0000-01-01	0000-12-31			Rainfed Maize		Band1	fraction	1	0	fraction	366				epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/extent/crop1_extent.nc				
MC_maize_1_rfd_Kc			daily_clim	0000-01-01	0000-12-31			CDL-US-Mv2 - CDL/MIRCA aggregation		MC_maize_1_rfd_Kc	unitless	1	0	unitless	366				epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/KC/MC_maize_1_rfd_Kc.nc				
mirca_cropAreaFraction				2000-00-00				MIRCA2000 crop area as fraction of cell area		crop_area	fraction	1	0	fraction	1				epsg:4326			(1e20,1e5):/gpfs/group/kaf26/default/private/WBM_data/squam.sr.unh.edu/US_CDL_v3_data/crops/MIRCA_crop_frac/crop_area_fraction.nc;				
TotalCropland			yearly	2008-01-01	2022-12-31			Cropland Fraction CDL - United States		Band1	per pixel	1	0	per pixel	1				epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/CDL_crop_frac/_YEAR__cdl_cropland.tif				
MC_fallow_fr			daily_clim	0000-01-01	0000-12-31			Rainfed Maize		Band1	fraction	1	0	fraction	366				epsg:4326			/gpfs/group/kaf26/default/users/aqa6478/WBM/SM_Main/data/extent/crop0_extent.nc				
